['./cordex_db_report.py', 'EUR-11', 'ps', 'day', 'esgffiles']
+----+------------+-------------+-----------------------+------------+---------+-------------+
|    | Experiment |  Institute  |     Driving Model     |   Model    | # Files | Volume [GB] |
['./cordex_db_report.py', 'EUR-11', 'hurs', 'day', 'esgffiles']
+----+------------+-----------+-----------------------+----------+---------+-------------+
|    | Experiment | Institute |     Driving Model     |  Model   | # Files | Volume [GB] |
+----+------------+-----------+-----------------------+----------+---------+-------------+
| 0  | evaluation |    DMI    |      ECMWF-ERAINT     | HIRHAM5  |    6    |  2519794351 |
| 1  | evaluation |    KNMI   |      ECMWF-ERAINT     | RACMO22E |    8    |  3671802809 |
| 2  | evaluation |    SMHI   |      ECMWF-ERAINT     |   RCA4   |    7    |  5235991981 |
| 3  | historical |    DMI    |     ICHEC-EC-EARTH    | HIRHAM5  |    11   |  6083749557 |
| 4  | historical |    KNMI   |     ICHEC-EC-EARTH    | RACMO22E |    12   |  6105435152 |
| 5  | historical |    SMHI   | CNRM-CERFACS-CNRM-CM5 |   RCA4   |    8    |  6117507039 |
| 6  | historical |    SMHI   |     ICHEC-EC-EARTH    |   RCA4   |    8    |  6119916789 |
| 7  | historical |    SMHI   |   IPSL-IPSL-CM5A-MR   |   RCA4   |    8    |  6097094273 |
| 8  | historical |    SMHI   |    MOHC-HadGEM2-ES    |   RCA4   |    8    |  6026326822 |
| 9  | historical |    SMHI   |    MPI-M-MPI-ESM-LR   |   RCA4   |    8    |  6088353642 |
| 10 |   rcp26    |    SMHI   |     ICHEC-EC-EARTH    |   RCA4   |    19   | 16128273234 |
| 11 |   rcp45    |    DMI    |     ICHEC-EC-EARTH    | HIRHAM5  |    19   | 10478677553 |
| 12 |   rcp45    |    KNMI   |     ICHEC-EC-EARTH    | RACMO22E |    19   | 10361268349 |
| 13 |   rcp45    |    SMHI   | CNRM-CERFACS-CNRM-CM5 |   RCA4   |    19   | 16120040532 |
| 14 |   rcp45    |    SMHI   |     ICHEC-EC-EARTH    |   RCA4   |    19   | 16125075908 |
| 15 |   rcp45    |    SMHI   |   IPSL-IPSL-CM5A-MR   |   RCA4   |    19   | 16079345168 |
| 16 |   rcp45    |    SMHI   |    MOHC-HadGEM2-ES    |   RCA4   |    19   | 15694793211 |
| 17 |   rcp45    |    SMHI   |    MPI-M-MPI-ESM-LR   |   RCA4   |    19   | 16052247638 |
| 18 |   rcp85    |    DMI    |     ICHEC-EC-EARTH    | HIRHAM5  |    19   | 10462047175 |
| 19 |   rcp85    |    KNMI   |     ICHEC-EC-EARTH    | RACMO22E |    19   | 10365874693 |
| 20 |   rcp85    |    SMHI   | CNRM-CERFACS-CNRM-CM5 |   RCA4   |    19   | 16108908684 |
| 21 |   rcp85    |    SMHI   |     ICHEC-EC-EARTH    |   RCA4   |    19   | 16121665257 |
| 22 |   rcp85    |    SMHI   |   IPSL-IPSL-CM5A-MR   |   RCA4   |    19   | 16068938960 |
| 23 |   rcp85    |    SMHI   |    MOHC-HadGEM2-ES    |   RCA4   |    19   | 15705575013 |
| 24 |   rcp85    |    SMHI   |    MPI-M-MPI-ESM-LR   |   RCA4   |    19   | 16049005231 |
+----+------------+-----------+-----------------------+----------+---------+-------------+
['./cordex_db_report.py', 'EUR-11', 'sfcWind', 'day', 'esgffiles']
+----+------------+-------------+-----------------------+------------+---------+-------------+
|    | Experiment |  Institute  |     Driving Model     |   Model    | # Files | Volume [GB] |
+----+------------+-------------+-----------------------+------------+---------+-------------+
